Hugo_Symbol	NTN006_Baseline	NTN007_Baseline	NTN012_Baseline	NTN014_Baseline	NTN017_Baseline	NTN020_Baseline	NTN021_Baseline	NTN022_Baseline	NTN023_Baseline	NTN025_Baseline	NTN029_Baseline	NTN031_Baseline	NTN033_Baseline	NTN038_Baseline	NTN042_Baseline	NTN040_Baseline	NTN046_Baseline	NTN049_Baseline	NTN052_Baseline	NTN050_Baseline	NTN057_Baseline	NTN056_Baseline	NTN058_Baseline	NTN060_Baseline	NTN062_Baseline	NTN063_Baseline	NTN069_Baseline	NTN074_Baseline	NTN076_Baseline	NTN080_Baseline	NTN081_Baseline	NTN083_Baseline	NTN084_Baseline	NTN085_Baseline	NTN087_Baseline	NTN089_Baseline	NTN039_Baseline	H36960.002_Baseline	H36960.023_Baseline	H36960.019_Baseline	H36960.008_Baseline	H36960.018_Baseline	H36960.009_Baseline	NTN011_Baseline	NTN013_Baseline	NTN044_Baseline	NTN072_Baseline	H36960.014_Baseline
HES4	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
ISG15	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
AGRN	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
RNF223	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
C1orf159	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
RP11-465B22.5	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
MIR200A	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
MIR200B	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
MIR429	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
TTLL10	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
TNFRSF18	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
TNFRSF4	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
SDF4	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
